,title,company,url,location,salary
0,Applications software engineer (Digital Pathology),Epredia,"https://www.glassdoor.co.uk/job-listing/applications-software-engineer-digital-pathology-epredia-JV_IC2686520_KO0,48_KE49,56.htm?jl=1008718053446","Runcorn, England",£48K - £60K (Glassdoor Est.)
1,Senior Software Engineer,Classic Football Company Ltd,"https://www.glassdoor.co.uk/job-listing/senior-software-engineer-classic-football-company-ltd-JV_IC2691218_KO0,24_KE25,53.htm?jl=1009487453415","Manchester, England",£50K - £65K (Employer Est.)
2,Material Model Developer,AWE,"https://www.glassdoor.co.uk/job-listing/material-model-developer-awe-JV_IC2675152_KO0,24_KE25,28.htm?jl=1009450949991","Reading, England",£33K - £44K (Employer Est.)
3,Senior Software Engineer,Sage,"https://www.glassdoor.co.uk/job-listing/senior-software-engineer-sage-JV_IC3293413_KO0,24_KE25,29.htm?jl=1009477101280","Newcastle upon Tyne, England",£40K - £61K (Glassdoor Est.)
4,Swift Developer- AI Trainer,DataAnnotation,"https://www.glassdoor.co.uk/job-listing/swift-developer-ai-trainer-dataannotation-JV_KO0,26_KE27,41.htm?jl=1009265208263",Remote,FCFA 31.87 Per hour (Employer Est.)
5,BMS Software Engineer,Vital Heating Solutions,"https://www.glassdoor.co.uk/job-listing/bms-software-engineer-vital-heating-solutions-JV_IC3527351_KO0,21_KE22,45.htm?jl=1009474099154","Padiham, England",£39K - £45K (Employer Est.)
6,C++ Developer / Software Engineer (Chinese Speaking),Team Creation Limited,"https://www.glassdoor.co.uk/job-listing/c-developer-software-engineer-chinese-speaking-team-creation-limited-JV_IC2671300_KO0,46_KE47,68.htm?jl=1009089649563","London, England",£75K - £85K (Employer Est.)
7,2025 Glasgow Graduate Software Apprenticeship - Emerging Talent Programme,JPMorganChase,"https://www.glassdoor.co.uk/job-listing/2025-glasgow-graduate-software-apprenticeship-emerging-talent-programme-jpmorganchase-JV_IC3298888_KO0,71_KE72,85.htm?jl=1009487517511","Glasgow, Scotland",£42K - £65K (Glassdoor Est.)
8,Staff Platform Engineer,Ripple,"https://www.glassdoor.co.uk/job-listing/staff-platform-engineer-ripple-JV_IC2671300_KO0,23_KE24,30.htm?jl=1008982059948","London, England",£88K - £106K (Glassdoor Est.)
9,Software Development Analyst,Sage,"https://www.glassdoor.co.uk/job-listing/software-development-analyst-sage-JV_IC3293413_KO0,28_KE29,33.htm?jl=1009424848418","Newcastle upon Tyne, England",£33K - £47K (Glassdoor Est.)
10,Lead Software Engineer,Macquarie Group Limited,"https://www.glassdoor.co.uk/job-listing/lead-software-engineer-macquarie-group-limited-JV_IC2671300_KO0,22_KE23,46.htm?jl=1009338633211","London, England",£63K - £97K (Glassdoor Est.)
11,Software Engineer - Salesforce Security,Optum,"https://www.glassdoor.co.uk/job-listing/software-engineer-salesforce-security-optum-JV_IC2671300_KO0,37_KE38,43.htm?jl=1009404133829","London, England",£40K - £64K (Glassdoor Est.)
12,Lead Software Engineer - Test Automation,JPMorganChase,"https://www.glassdoor.co.uk/job-listing/lead-software-engineer-test-automation-jpmorganchase-JV_IC3313555_KO0,38_KE39,52.htm?jl=1009400035330","Bournemouth, England",£27K - £39K (Glassdoor Est.)
13,Head of Software Engineering,GoFibre,"https://www.glassdoor.co.uk/job-listing/head-of-software-engineering-gofibre-JV_IC3312271_KO0,28_KE29,36.htm?jl=1009487305366","Edinburgh, Scotland",£71K - £85K (Employer Est.)
14,Late Shift Senior Turner (Setter/Programmer),Coker Engineering Ltd,"https://www.glassdoor.co.uk/job-listing/late-shift-senior-turner-setter-programmer-coker-engineering-ltd-JV_IC3317504_KO0,42_KE43,64.htm?jl=1009476772673","Taunton, England",£24K - £80K (Glassdoor Est.)
