,title,company,url,location,salary
0,Applications software engineer (Digital Pathology),Epredia,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6WvEhlXVvoQ4z_dCHY9vi2CA-SKbJzo61A-GQQ1z3i3vBXtoAJYO-IdW0YhCO52qC0R1J2GJhXQZFtb8g5S2oYMwCsudIzrCuIolneQDLEcoFAgAQmPLnh9MsWl0mXv8RWH8f8YYgFESz0CduEZVUTF4pVMUySBiJTmJU7LzFQ0XqYGC-AMG4WRc1jVBAGWprepBusQ5AeRqSut-i4uDuE1IK3Eq8nCbBG3G451cr-WXUMvLh3ZHTNH1S7pz4sGMmgy9-HGuCa6_6323FgcI8gv408Cl7zhy3PFkD1x0bupJ_ZjKPa19LRe-IlhI3lRS2QMdaW_qAv3i2syHu2tBFZ3aGT_FFCsG5Pg10uY9G2cdwuE-vlE5qbcP9J8NzW7dmzpDI-LQ1_rUsnc9sf-j--jbMy-G7cuX9IKyVVEf5DgHHLfkzLufWAHMXc06uzkDFOXVqWiW-ovBcFqXdOFvNTjc-q1zcX8Bn7nygqocH8nJBAxWLmHGEJkPsfzw2zNTRGM6oW2WwSwUBe4nyr92QRUWgqihjOq16AQGLmntRymFkNrbjZX7v7Nsacvxo9_AvCu4ZCChsEF7UjVXR6EFRqlMjupYNQLUi-VMdCFAh-4FmEOcBWeGSwJHMj5QUvYyaweBLPmDmvCvd86wZE2oh-cDoP8ZUbEWFyUTWVpw1vBK9mN04qm9jzeKK_KWY7lTIhEp_fXWFDS5rbJ6lfgjHC2yhh7-35ew7ddGPlquf9X-zWBS8tQ10waP6LwgJy6DBhbZiH3faXy_ekQr8cZZxHqRE3yGmYXweZrb2RSvLnAkXa3Plpn2wq8TTHdn6CgHBgb75i40sdYJt2ztsic92-OHnsDjfEXA=&xkcb=SoDU6_M36K0Ve9RYcp0KbzkdCdPP&camk=4HOcmqOLYrBLIbD3OgHMdA==&p=0&fvj=0&vjs=3,Runcorn,Unknown
1,Senior Software Engineer,Sage,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BBpcNd7db0vXu4T9xlN14JHRf1UclrR7PoSFXNute1BW7ZdaRHWF1_H90SShcUBG_031IpbYNTDo51vRhH13Z3b410Ug6M4L_CHj9qCG-2ecKnsXKkvaC-cfyY9z3vbsKNVptBHv8U-zucx9lkWSKfhKuyXv2NMUS19eXT6acwl_qBUWN_1WX4mNTQSt4WsLtPkJ_ZoS_fRdEv53BLNePt9pa_Dp3vZmjomhTDPcACGg0DiPsE7spllkzPAUKti5KwCjMKzaj2Wlb-wo5_Sj-4rqanxowMU72o92I5GNZ0WuLqL4xa5IOi_kaiHvS0U-TPxrDKYAUSEZT5ZllMaaqiP4hL19FzMBaFwjzgsRAs5sZ6CJfV4FgIJvV6rmnD5VFWr08nP7DSUxTTydm8aOiE2izbNmwooZL1oad6RNPx_1n-CTvM66YiSfgPx2MRFWaMTvQf0F2ene43k1JHlQrsNqzhU8VhHv1Zu9SCBT6dGrJk6RsqAZOwrYuhZs8EpFjcKVXeREEoCTuR3f2vnkXI3pAy8MYVcDr-k7V06h4Gf6r5ETtdyP02lsoeqcQg_I4EqkQdFrA1vRutGRocJMLENFUDmMownf4wkZ2JRem2JBryWSguAC4h1Dkc0HHQ9uszqBLF4K_nsBkx9pfbX55KG8cDQCZ5AVnKl4lfZvjAVOGCOxTVj3hxGoyh5YsWJK0=&xkcb=SoBJ6_M36K0Ve9RYcp0JbzkdCdPP&camk=nUmJqO2E8rj1yH7IAVz-cQ==&p=1&fvj=0&vjs=3,Newcastle upon Tyne,Unknown
2,BMS Software Engineer,Vital Heating Solutions,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BezEDvq4O0wCN-FQSRnGwyuRF4j63hCxJcuR-rFhWfMkqrHP72K0ftdhr3inDprpUaepzLCsad3wrzmtWCNWfbE1CpYbnYHznaC6aIMHtHwRqmXGdCamBWzxQYXsDEBiYjYEstE6WS5xkzFoMgwooUOjKiFQfTA8feHyPmB-jUNreMS4UwHOXgZdjDP9mrN8uXUOy9bAN3px-Xkj-NX3u2RaInW6uar4El9kM8z0ONYhmhPJEMQK6VPau5bWmBQbeVSUKUwgjLMKC-YP2VMcrj7Uqv6zlfFHMqa69IIKxkppJ2EDPpQeRDJU_QLiYxv3kmuCYv9otFxSID60E9IWiJC--41pq_ZlbETfEwBjDj2XRbSiU_QhX85et_x8BnmjCBny9drzoOM8Tt2uXBzPoLMSKg4LYhXDmW8chJPoNKTMLuySUtmRcd0AoG7Vp68XEWFwPrXzSzS165ndiaZNckYpI4tO7pPX1T3cRglG3yrhzGQUngwLyNzirdLH3GjR9P1awEfu_-UtGT4f5jRrlektzKclnAQeT_-IZBZvaO36fzZNIyIYrEWxXt4cwSF_coX9ktthHS-mbSTuMOHoS-OB6pNQtg4vMY80ju3ZQB_aXrWjaw4i3eWmuZN1LLZkHu8D7MdkoFRaOtZXREPShFfO7cP-kZNAM=&xkcb=SoD96_M36K0Ve9RYcp0IbzkdCdPP&camk=nUmJqO2E8riVaGA3XCnGng==&p=2&fvj=1&vjs=3,Padiham BB12 7PN,Unknown
3,Swift Developer- AI Trainer,DataAnnotation,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiIwGterYszvygHUsFIhye4rmzKEl-6U2xZDoVY8ysvF0-9cfefvyjqQOkv0HdVPLYw6AQWAaf-_S-d_5mQJw2zRp4WsobtgpJvNFLzyPs9SrXHcXl-LwIbo0wOtGczrMIBYw5izgJqYuc8fRnR9x8sDbmnigldN46KzGa3RTAM0UnTC8xXtsWuecAvhUoeI6_0pihoAjo6d66PCfMnSvBnkVGg49_kA8JwyeFDUjYZuGh4OkGq_SCqvaeyaG2n6SxMGJoM-_X72ibgaq39Wi8fYtlCpyXT7c2x9bPu6NzFFkWDRuqydNvXTU-egsLYXQ9d5mQWfnWf-DXeCbu_QiL0OcIAkQwcn0x8x45osAE8S1R1eAoCape_MBPzzZL2vAs7TYujzhqY_WsRztsxUvxql8J_l2r5y03djsd_G1yFA6fKY50nNn6mehNvBbVRk4B-JnZ0w8Trcg4McpRe6kjWAqWiTibhNPko8a_kPdTsLIBBmV_eqEUR60ny97SV7vhQ87iG8AV8xG_BJdzIvuqaTiDSgtcPLtVAVCaDWe3paSmqWSzWawLhysLgKOuiswsnNJRz5MV21pwFTVjb4K6IaaBQj0lez2iAxtcsbDbbIREMp-Lc3P7snJILIKW-1ZCGFUCjLlEXoxwQbStjmJCr0k32uFsMmSPxh-CXw2f7ED4OUIpn-Pv9Oxxr2O0_zrOUMsBZufp6bBiEwlo3uwhn--FciHcYX-yCzZF1g5xeXoNDcMLNBjKDebiR6L9RXNuenIkbIiYTLT9iQHH0hIIACqO9zmBOu6aarH4dI867Oh8sozhgKkcnua7BWp776ddtAfNHTKIBGc7fQtEpc_xO6HajdzXOrfvw==&xkcb=SoBz6_M36K0Ve9RYcp0PbzkdCdPP&camk=nUmJqO2E8rhH8WmWhvCRqw==&p=3&fvj=1&vjs=3,Remote,Unknown
4,Software Engineer III - Java,JPMorganChase,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AF_nh5ZfsFsBmdMtl0VmSp3qr0hiO0v4aMZualv0QEXzQitAXewe3fVsFuhQsY7UkOrXj6L3MYCuAjAy0sOdxJ9GtJMFhsKxMYXOOjjKfCCojbI6FSuX89bQAZw_USNeX0GR7bF0Sce_eJXvrR9SWE_HRIP_QTHVJSgIz5NjdDOCWwuCkOfJRK0KoMSOKC91wM_0tyx3_JYg36Md9lbaktcxbuk374sIDo8A2rNWZizyIIKA_HQF3Mq9NQBw5q6kHuMOCecgo642aOm1doISBdpqFZ0eJXL5d9VHOpCDj-7QUT2Y9tNjlsYGstuweuezhZz09cH48P7SI5wFC-0ygQ9IBEN0wbvfCBYHv2myPJfFEVWiW8AwXYjc7pt6sO_BhSlkZtLe8snjb-sBxvK4o9pLrNsnIzci4Vh9sNHrecEe7dblZe9hboFRnxw5SCF8dYCRqF3kubBmDlXS2cdpKgHh4g6cS73zhlTHRlLzdvpQj5Q9ApAQMbaZF2Yf22JwX4l1NQFBGLu2SimGlxX7qhl6iqXlTt7u7n4gznJfluqfXzAP5wraMh9tDLZbq2j-bNChKeVzvPSekZl-4f4xWaSn38dK0QoaYPJ5lwQRxkv7tLy_0ZoRjYOYHvPWVZ9VdZ2KDXbMIeo3fUEArnUi2YU_IEH0dEdaEo909n4IdgZn77nJOG5SkxHl8h_oGlBzvX1b127EpXxjmVwbmWE4KpvchitIG7WL2tx4lgntVZe5fsdBuGuliHZEAKXveGNegA1XHL1jCqtwi_CNc4gu7eqi00rVVPmnI1eUugFN1xVhhkQe2rovvJjutFt9UYp9NHIbOWg1e4xNTU4ObmKRlu0hVR9KO3oQ-QbcMWTNNeDRldY4zhcpee4BXXGjaNa2eP34JPdWN288ihbICVGZ3OPWyejFl1QX3GG5yRuHIChc6zNld-PjvCRUTqmI3SPLmraJXmT3EzEcFL6yVwpdycuLzMe-YXocG7pqqVllyWUsGo2nz8rQ9ZQ3TMHeDekVRrUBwi8rk1yHgPsZBAleTToy-nObrh3HIxJBbaP6VaNr2Ibp8GYgiJMGEXiSoxX64NZFkcyGoLAOcuyiqxpS1bIo6GXbkkIZGtA0MwDA7hPzO9-PJJ97cQZSJjseAoBKCUnE2pcANXjxdwA5r4emXJ1m-vMxZQeMU2BND7PW3I8GPo7ISp_zP6jGCjBOuLcUZC1lgq4cHD3VqKuY-OJVAHJIbRzfP9sp4NvE0AQDY-mC-9T0mIl-PYTBhYceHi_HXTAhpU59e-chwPceQkQ4dFbWr9MCKUAxAdX_QjOYdpEgVuJDakVtzFaBQLjlfSpAuKvyus4W3pE4YSAO9Ync8eci3HJS6HuiwhlIkM-TiCjA==&xkcb=SoDH6_M36K0Ve9RYcp0ObzkdCdPP&camk=nUmJqO2E8rjIDw4Ccth7PQ==&p=4&fvj=0&vjs=3,Bournemouth BH7 7DA,Unknown
5,Junior Software Developer,Althaus Digital,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7LPXGJQ713OxDKBW9xV5XNljWRCEa5JeGzXecVhgXF5DZGYiXvGxj5tLxp_pEPub-_exoQExodI9vo7aBMKwIukSioqf4JY1CxAvopMV3g0KFkxvpIYeZifyqhgEy42sHWShNouPnX79q6nK40sPtSPIP5XyE0VVA7GcD7AudcXXgGGLLZzYqnQZe748NK9uMdjUopo1atCgef-xahXNA_SIjxwCuOh5JqhDsCkhfy6CbWtYA5w8UmBBG9dQ6wH_a3g0npx5HRTGrXX0YYV3pkkiH6HTrK_GSYdlhP_nwycbwAXhqSbsj0TqwuKuzk1d73cG3pfgMMdRJQ7zFRTQD9cuL_MG4cT4cF6mm3yhLJKfv-VMYxrjR-CfjfLfqG4MMHKTCNvwX2b7r2-ss9l3DMwUsvc1oCNKUBgjAY274wGf7LFULgZwdn-8PA73p8Ves-p8lg2-0rkAG9L3x6iY6ncnry6-d7Mi9Fwm4rLXgDrqDPAu5-EqXsme12gaXcHhu6x-T4EbWMCrww2ySPzaMEjt006nOowCvjqVpF64ooNNtt25SlJnVGDIzQATwsVAB3cL4bXn8L1BAZKtZv17jGxw_NjPFBEJDPwPDt0FV3AFIjrEq7qMWIyT1NGA8DXMldsOCflJHLRbyOxXNSeBq&xkcb=SoBa6_M36K0Ve9RYcp0NbzkdCdPP&camk=nUmJqO2E8rhrDbgyMz--gw==&p=5&fvj=1&vjs=3,Hybrid work in Birmingham,Unknown
6,Software & Controls Engineer - Pharmaceutical,Bennett & Game Recruitment Limited,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0l9OvPUMfwwxQ-oPWowfHo0BZTcljJE011AZoS9GXjCmV3x3_9Svm34yWHTH6Nn7T2WUGLCkMdddtoQtNtfk0zQp4IXobeWr0gV7bbyYKGn2QfKHfpRB1tUGwPmAkwXFGPx55CsteC6LLbtWnPYrNB3vLQ9OnfLIpsoWgjNmIV7Prmq6Xq3M0vhVVFUvb5bdesPPUWbMOYjkvQGH64a0gvUS9Sv64XbL4m4pzXYFebebF4dbIbDR467wqc2MepLb7EeAKZ3jhWrrxopHZD592LS1bJZU3f4S56FxT8TUk8i_NhpEbyaXlqtIV_wk1WbT5n3HpgWGbvj0h7dXFl7tPlZM76TL44sfRZio6nmENWtbnVFH6XjwM52VfzIdEjrcBiZylJweEvW42JFg1wt2-8RaumLCLH-PcGDypGIHep8fhHGkTAFKEvhvtTSY3BcsGyOjC-B4BrBII_gjbOdhSn8YuQjPzf6A2IZs2HnHZbO8YlNbiW5XsZUDjkoElND5fn5v5lAydqzFc0fBtYb0Iwac_A5_H--Omm7Exm5ujsjJgLCBD8wr4XwVzeO7w1mGJpWKwTyN-B3OIB5HDJL9v1JW5X7YstX-C5dpWuRAnyTLAU_SjNrr1AQZhR-RhqL5oQjuC2E9L-kjZ0rZESzEGBMXRBs3OOhroaeF0oNS7-vtg0gDfqt4kdxrdyHdwJaakA0aUtxpE-6ceV5eSc3jG8iRSQFW4HEg=&xkcb=SoDu6_M36K0Ve9RYcp0MbzkdCdPP&camk=xqnMBGaf-K-XY0X1DYyJtg==&p=6&fvj=0&vjs=3,Halewood,Unknown
7,BMS Engineer,GCM Recruitment,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BA_PC2eXzC7H8WI7jFfb_zUJsRSYjcBnLef5v5trM1QhRo2SG-Ex0OQs3Caw4cG21hyY7N6BN5MXsLPSfCcAlmrt4BWOv3dyAbsSGYJ0NIpaSH_b6sKirTlWBV9t4DOupJRFiXe-Ca3ZMZVgKe5H5Bdy6ZU82aN4fCAGbLHE0zSqVKG2He2kNqTefK2esp3pR-wnw0ct7w7XkV_3CJTKDgcz9h2xyvPORkHjz_L3ydL9yMjc-YQjya3jgTTYInRKWvvMOz_TMK4HqNLD7cF-XrUSHVmppcNlvMAwZZIpJubZrpOixLSAAdcOpObU0J5E0BH8fKIDkExyiAhajmi2kM3oDndmaznOwBczxREuTmwJfvEH-D4TVNYYAEPtIQmq3TEWacxg-12JRIsI6NWqdjjlDRLUQzhYYHFldUxeItfaK57zoKLjV1uuagSgDCvQ5NZg0rg2cGGv2CLRx-Sy_s4NEe1l2Ez3-wDWnSU5zlnIIqb7XdD0zI5A4XrpMjPC2iMUVQl88AHCKZ0sduOOJH6trj_2DmJsZWtoP95FYFAf6sGf4POw1JA0Wsg1z-qNktCxYAX9ZpBxz77nbM1XxpGkP-bn5l9rOcw4rrmOFjstNyIrx6DA4MQ5eiWThPcSHAfr94wkd1LOcnj6ldSWk09_CGcDXbSnHMnPi8DKE-fw==&xkcb=SoAH6_M36K0Ve9RYcp0DbzkdCdPP&camk=4HOcmqOLYrAbqfXDeW-_gw==&p=7&fvj=1&vjs=3,Reading,Unknown
8,Solution Developer Apprentice,The Recruitment Source,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ClfCJk7eCBSNez4fZBV2OUS3bSKph7NTdShYtq7--H_Q6VI3OftXpE-7T9AWQoUcEja4NSkPRR4DnOy3RWDlOiFQgT6DkjnTGjScL0Zgzk4-IQZiFdIYaAER8_No9lhcAZuWxfI6gNF1RGVchw769uEKvHhIgb_3OzyHCYF8FqTtFy-X7T2PfMIaCFA-o_wkH0U0Tq3TTXy1AhKzKeOYEeERJZs8Bk5XPVk0u9GebYRfZOKfwMWocShui0KqKj-F0pdeOMBx-Ucqvrxh_M8SHGydcDKOAOnZRZfqkXzdcWRBeoy-hRctjhfQ1vJKy8mcuE9smZwONZ68z3zF-fJrykJti8O1v2OmjqmfyPomKHOj2NbK78uEIm9oVRtc2PfTdS1Kllb1eMDKYUH3ChSgqdXEMe1Nx1bxc9UB8gwPQ54u14GSzjQ-dFebhzd6DFYPAbY_txbmq8ai8J67fbu_g1kKNQSBcR8YITiEO4F3sIJhCnVzVZ4ZXUTyHDfFzimFEJfej6tq8j21DUk0FSEigLFbwFLteFXCgo06vaLOvd2b_mDKWWk3f3NcklSklXpJKTW6nSNAH9552OIn44Xz3pzOLdCksHiecRwdjveL31MYRHLXislnGVsjoBSSlRzSrDVqDEV1OW6r72AeX4gTVEs1jB1tna2IEg52PiWHAseg==&xkcb=SoCz6_M36K0Ve9RYcp0CbzkdCdPP&camk=nUmJqO2E8riGTIk_766ZmA==&p=8&fvj=1&vjs=3,North Tyneside,Unknown
9,Software Engineer,Motorpoint,https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDKQx86K1qSTuS9c0aU8eXzzgztlwyMidZHjmRMz4DcvlH8P2O9MnVmxj_19OCr3FS2GBfLPjQ1V2ay0dSdh_0jaB2Z_hn3QIqsSAz6siHvFRvujEJl1bw0GccrEXSpfEktGYWlEjQf0pA3TZnDcf9H5MNVuMY07jFmXWqJoLkkVdkvAHKmweAjBpeFB-uYosnXPDnOua6YRxWeZ8tdwT7nWHyH_lpGjxBUdmLbbJBOZNHNVPqaYkqFRhJE0ahP3GdzYcLs7CrJ4ZiSB5K6oIEFiCV3BcN7GZSmB7ut7qNEtLFOWxNukKejS_1djouaffw_dy0MEjRMk6_qiKcodle-SDVTleLP9K-tZWEDBmpWnZOGkb1EKebGQS568ruVqRAEC4JWTRe0IvdTnwirWh8EycelL5oqtX0yVv5S7aL91X3zrX8-aVjCyCYbg9ld-g62exGxjkaeKehbeNz-6XboQZQb5QFJRp-YVB8oC93xznDet5dWN6MzgHvuON6BDsBs82YXPfgbMOWKBBPyD_1MuFWYXsN4yzAozCHoB04vGAoVvsX6ZI2B48tVO8iix7tvAJYx7USejVXku_mswb-4laJSYlCIr93i1mIgpTZoglhWj4axyeWp-XwuMGFplbsiS3VdAIo7IGmWSmFW3NOzylirAo9lMsRHU9tjFubEfxsXJsTBtDn&xkcb=SoAu6_M36K0Ve9RYcp0BbzkdCdPP&camk=nUmJqO2E8riXqy-tt--DUQ==&p=9&fvj=0&vjs=3,Hybrid work in Derby DE21 6LY,Unknown
