,title,company,url,location,salary
0,Software Engineer,MBDA,https://www.reed.co.uk/jobs/software-engineer/52516909?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Stevenage, Hertfordshire",Competitive salary
1,Software Engineer,Connells Group HQ,https://www.reed.co.uk/jobs/software-engineer/53820213?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Caldecotte, Buckinghamshire",Competitive salary
2,Senior Software Engineer,MBDA,https://www.reed.co.uk/jobs/senior-software-engineer/50429345?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Stevenage, Hertfordshire",Competitive salary
3,Software Engineer Ada,MBDA,https://www.reed.co.uk/jobs/software-engineer-ada/51703842?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Bristol, Avon",Competitive salary
4,C# Software Engineer,MBDA,https://www.reed.co.uk/jobs/c-software-engineer/52496917?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Stevenage, Hertfordshire",Competitive salary
5,Embedded Software Engineer,MBDA,https://www.reed.co.uk/jobs/embedded-software-engineer/53169801?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Stevenage, Hertfordshire",Competitive salary
6,Embedded Software Engineer,MBDA,https://www.reed.co.uk/jobs/embedded-software-engineer/53722646?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Bristol, Avon",Competitive salary
7,Lead Software Developer,MBDA,https://www.reed.co.uk/jobs/lead-software-developer/50370795?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Stevenage, Hertfordshire",Competitive salary
8,Software Developer Apprentice,QA,https://www.reed.co.uk/jobs/software-developer-apprentice/53800353?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Wakefield 41 Business Park, West Yorkshire","£16,000 per annum"
9,AI Software Engineer,WTW,https://www.reed.co.uk/jobs/ai-software-engineer/53621184?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,London,Salary not specified
10,Senior Software Developer,Clarion,https://www.reed.co.uk/jobs/senior-software-developer/53823595?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Norwich, Norfolk","£43,981 - £65,587 per annum"
11,Senior Software Developer,Clarion,https://www.reed.co.uk/jobs/senior-software-developer/53823451?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,London,"£43,981 - £65,587 per annum"
12,Software Engineer Command and Control,MBDA,https://www.reed.co.uk/jobs/software-engineer-command-and-control/53788979?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Bristol, Avon",Competitive salary
13,Junior C# Software Engineer,Paypoint,https://www.reed.co.uk/jobs/junior-c-software-engineer/53800905?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Welwyn Garden City, Hertfordshire","£30,000 - £33,000 per annum"
14,Software Engineer - Undergraduate Placement 2025,MBDA,https://www.reed.co.uk/jobs/software-engineer-undergraduate-placement-2025/53549629?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Stevenage, Hertfordshire",Competitive salary
15,Software Engineer - Summer Placement 2025,MBDA,https://www.reed.co.uk/jobs/software-engineer-summer-placement-2025/53807485?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Stevenage, Hertfordshire",Competitive salary
16,Entry Level Software Developer Role,althaus talent,https://www.reed.co.uk/jobs/entry-level-software-developer-role/53559024?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Birmingham, West Midlands (County)","£21,500 - £22,500 per annum"
17,Entry Level Software Developer Role,althaus talent,https://www.reed.co.uk/jobs/entry-level-software-developer-role/53760272?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Birmingham, West Midlands (County)","£21,500 - £22,500 per annum"
18,Entry Level Software Developer Role,althaus talent,https://www.reed.co.uk/jobs/entry-level-software-developer-role/53539178?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Birmingham, West Midlands (County)","£21,500 - £22,500 per annum"
19,IT Software Engineer / Tester - 12 Month Placement / Internship,Enterprise Mobility,https://www.reed.co.uk/jobs/it-software-engineer-tester-12-month-placement-internship/53832834?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Egham, Surrey",Competitive salary
20,Software engineer,Searchability,https://www.reed.co.uk/jobs/software-engineer/53783592?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,London,"£40,000 - £60,000 per annum"
21,Software Engineer,Lynx Recruitment Ltd,https://www.reed.co.uk/jobs/software-engineer/53786607?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Crawley, West Sussex","£40,000 - £50,000 per annum"
22,Software Engineer,SF Recruitment,https://www.reed.co.uk/jobs/software-engineer/53695247?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Birmingham, West Midlands (County)",Salary negotiable
23,Software Engineer,Matched Group,https://www.reed.co.uk/jobs/software-engineer/53762228?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Reading, Berkshire","£50,000 - £67,000 per annum"
24,Software Engineer,Searchability,https://www.reed.co.uk/jobs/software-engineer/53819119?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-jobs,"Bletchley, Milton Keynes, Buckinghamshire","£35,000 - £60,000 per annum, inc benefits"
